Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del Préstamo Prendario;Nombre corto del Préstamo Prendario;Denominación;Monto máximo otorgable;Monto mínimo otorgable;Plazo máximo otorgable;Ingreso mínimo mensual solicitado;Antigüedad laboral mínima (meses);Edad máxima solicitada;Relación cuota/ingreso (%);Relación monto/tasación (%);Destino de los fondos;Beneficiario;Cargo máximo por cancelación anticipada;Tasa efectiva anual máxima;Tipo de Tasa;Costo financiero efectivo total máximo;Cuota inicial a plazo máximo cada $10.000;Territorio de validez de la oferta;Más información
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO USD FIJA 4,90 GASTOS 1,50 5 ANOS TASA LLENA 8,90 LTV 70,00;5PDNU PN USD 4,90 5A SUB;Dólares estadounidenses;10650267;15000;60;0;36;100;25,00;70,00;Adquisición para capital de trabajo;MiPyMEs;2,00;5,04;Fija;5,79;1200,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO PESOS FIJA 32,50 GASTOS 1,00 4 ANOS TASA LLENA 47 LTV 70,00;4PAJB PN $ 32,5 4A;Pesos;15005865959;15000;48;0;36;100;25,00;70,00;Adquisición para capital de trabajo;Personas humanas Responsables Inscriptos;2,00;35,71;Fija;37,41;130000,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO USD FIJA 0,00 GASTOS 1,50 3 ANOS TASA LLENA 10,75 LTV 70,00;3PDP2 PN USD 0 3A SUB;Dólares estadounidenses;10650267;15000;36;0;36;100;25,00;70,00;Adquisición para capital de trabajo;Personas humanas Responsables Inscriptos;2,00;,00;Fija;,87;3000,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO USADO USD FIJA 0,00 GASTOS 1,50 5 ANOS TASA LLENA 13,25 LTV 70,00;5PDPG PU USD 7,90 5A SUB;Dólares estadounidenses;10650267;15000;60;0;36;100;25,00;70,00;Adquisición para capital de trabajo;MiPyMEs;2,00;6,70;Fija;7,70;2500,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO USADO USD FIJA 0,00 GASTOS 1,50 5 ANOS TASA LLENA 13,25 LTV 70,00;5PDPG PU USD 7,90 5A SUB;Dólares estadounidenses;10650267;15000;60;0;36;100;25,00;70,00;Adquisición para capital de trabajo;Personas jurídicas;2,00;6,70;Fija;7,70;2500,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO USD FIJA 4,90 GASTOS 1,50 5 ANOS TASA LLENA 8,90 LTV 70,00;5PDNU PN USD 4,90 5A SUB;Dólares estadounidenses;10650267;15000;60;0;36;100;25,00;70,00;Adquisición para capital de trabajo;Personas jurídicas;2,00;5,04;Fija;5,79;1200,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO USD FIJA 0,00  GASTOS 1,5 4 ANOS TASA LLENA 10,75 LTV 70,00;4PDJJ PN USD 0 4A;Dólares estadounidenses;10650267;15000;48;0;36;100;25,00;70,00;Adquisición para capital de trabajo;MiPyMEs;2,00;,00;Fija;,67;2150,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO USD FIJA 6,50 GASTOS 1,50 5 ANOS TASA LLENA 12,50 LTV 80,00;5PDMO PN USD 6,50 5A;Dólares estadounidenses;10650267;15000;60;0;36;100;25,00;70,00;Adquisición para capital de trabajo;Personas humanas Responsables Inscriptos;2,00;6,70;Fija;7,50;1200,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO PESOS FIJA 28,90 GASTOS 2,00 4 ANOS TASA LLENA 45 LTV 70,00;4PANN PN $ 28,9 4A;Pesos;15005865959;15000;48;0;36;100;25,00;70,00;Adquisición para capital de trabajo;MiPyMEs;2,00;31,48;Fija;33,18;130000,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO USD FIJA 0,00  GASTOS 1,5 4 ANOS TASA LLENA 10,75 LTV 70,00;4PDJJ PN USD 0 4A;Dólares estadounidenses;10650267;15000;48;0;36;100;25,00;70,00;Adquisición para capital de trabajo;Personas humanas Responsables Inscriptos;2,00;,00;Fija;,67;2150,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
44096;JOHN DEERE CREDIT COMPAÑÍA FINANCIERA S.A.;2026-04-13;PRENDARIO NUEVO PESOS FIJA 32,50 GASTOS 1,00 4 ANOS TASA LLENA 47 LTV 70,00;4PAJB PN $ 32,5 4A;Pesos;15005865959;15000;48;0;36;100;25,00;70,00;Adquisición para capital de trabajo;Personas jurídicas;2,00;35,71;Fija;37,41;130000,00;Todo el territorio nacional;MONTO MAXIMO OTORGABLE: 25 POR CIENTO RPC FEBRERO 2026 EN USD. MONTO MINIMO A OTORGAR MENOR A 15000 USD DE MANERA EXCEPCIONAL. TASA EFVA. ANUAL Y COSTO FINANCIERO TOTAL CALCULADOS CON VTOS SEMESTRALES. VARIABLE DE ACUERDO A LAS FECHA DE DESEMBOLSO. NO INCLUYE IVA POR NO SER UN COSTO PARA LOS CLIENTES. CUOTA INICIAL: VTO 6 MESES DE OTORGADO EL PRESTAMO. RELACION CUOTA INGRESO: VALOR MINIMO ACEPTADO, RESULTA DE DIVIDIR MARGEN BRUTO Y TOTAL DE CUOTAS DE PRESTAMOS DEL CLIENTE. INCLUIDO EL QUE ESTA GESTIONANDO EN LA CIA
