codigo_entidad,hipoteca_uva,hipoteca_tea_max,hipoteca_monto_max,hipoteca_plazo_max,hipoteca_n_productos,ofrece_hipoteca,personal_tea_max,personal_monto_max,personal_plazo_max,personal_n_productos,ofrece_personal,prendario_tea_max,prendario_monto_max,prendario_n_productos,ofrece_prendario,pfijo_uva,pfijo_tea_min,pfijo_monto_min,pfijo_n_productos,ofrece_pfijo,paquete_tiene_premium,paquete_comision_min,paquete_comision_max,paquete_n_productos,ofrece_paquete,tarjeta_tea_financiacion,tarjeta_tea_adelanto,tarjeta_tiene_premium,tarjeta_comision_admin_min,tarjeta_n_productos,ofrece_tarjeta,caja_apertura_simplificada,n_productos_ofrecidos
00093,0,,,,,0,107.05,10000000.0,60.0,42.0,1,,,,0,0,21.94,1000.0,8.0,1,1,23000.0,70000.0,168.0,1,110.98,110.98,1,0.0,60.0,1,1,4
00094,1,10.36,9999999999.0,180.0,1.0,1,123.2,15000000.0,60.0,2.0,1,91.93,99999999.0,1.0,1,0,22.14,1500.0,6.0,1,0,12671.52,12671.52,1.0,1,136.07,136.07,0,6790.62,1.0,1,1,6
00097,1,3.56,150000000.0,240.0,12.0,1,26.83,25000000.0,72.0,42.0,1,,,,0,1,20.75,1000.0,13.0,1,1,10715.76,42437.12,146.0,1,127.42,0.0,1,4950.11,33.0,1,1,5
00131,0,,,,,0,,,,,0,,,,0,0,28.02,10000.0,1.0,1,0,,,,0,,,0,,,0,0,1
00143,1,12.68,250000000.0,360.0,20.0,1,349.05,16706000.0,48.0,6.0,1,,,,0,1,24.36,50.0,11.0,1,0,,,,0,154.28,154.28,0,6600.0,2.0,1,0,4
00147,0,,,,,0,,,,,0,,,,0,1,26.83,1000.0,13.0,1,0,,,,0,,,0,,,0,0,1
00165,0,,,,,0,,,,,0,,,,0,0,21.0,20000000.0,1.0,1,0,,,,0,,,0,,,0,0,1
00191,1,13.24,200000000.0,240.0,48.0,1,112.98,50000000.0,60.0,10.0,1,151.94,20000000.0,6.0,1,1,21.34,0.0,65.0,1,1,23595.0,71995.0,20.0,1,129.55,129.55,1,0.0,9.0,1,1,6
00247,0,,,,,0,109.01,1500000.0,12.0,24.0,1,,,,0,0,19.56,1.0,12.0,1,0,,,,0,126.6,0.0,1,5358.73,6.0,1,1,3
00254,0,,,,,0,,,,,0,63.23,10000000.0,1.0,1,0,28.36,1000.0,6.0,1,0,,,,0,,,0,,,0,0,2
00268,1,8.3,187929000.0,360.0,1.0,1,107.97,6000000.0,60.0,2.0,1,94.68,30000000.0,1.0,1,0,23.04,1.0,14.0,1,1,20930.0,66279.0,4.0,1,128.71,128.91,1,9739.0,10.0,1,1,6
00269,0,,,,,0,103.18,30000.0,12.0,1.0,1,,,,0,0,14.94,2000.0,1.0,1,0,,,,0,166.31,166.31,0,100.1,1.0,1,0,3
00277,0,,,,,0,494.63,3750000.0,24.0,6.0,1,,,,0,1,24.36,1.0,3.0,1,0,,,,0,,,0,,0.0,1,0,3
00281,0,,,,,0,,,,,0,99.38,32000000.0,1.0,1,1,34.5,10000.0,2.0,1,0,,,,0,87.8,,1,7000.0,1.0,1,1,3
00285,1,12.13,9999999999.0,240.0,15.0,1,9.38,10000000.0,72.0,16.0,1,,,,0,1,22.54,1.0,11.0,1,1,14943.5,78480.6,28.0,1,112.7,112.7,1,15972.0,14.0,1,1,5
00299,1,11.0,350000000.0,240.0,6.0,1,151.94,100000000.0,60.0,6.0,1,,,,0,0,23.15,500.0,8.0,1,1,9102.23,79890.25,30.0,1,122.2,122.2,1,8372.38,9.0,1,0,5
00301,0,,,,,0,89.0,12171000.0,60.0,4.0,1,,,,0,0,25.66,1000.0,10.0,1,0,,,,0,,,0,,,0,0,2
00305,0,,,,,0,127.77,1000000.0,36.0,2.0,1,,,,0,0,25.59,500.0,8.0,1,0,,,,0,,,0,,,0,0,2
00309,0,,,,,0,110.96,5000000.0,72.0,2.0,1,,,,0,1,24.42,1000.0,3.0,1,0,,,,0,141.27,141.27,1,4210.0,7.0,1,1,3
00310,1,13.24,250000000.0,240.0,2.0,1,129.47,9000000.0,48.0,3.0,1,45.37,40000000.0,4.0,1,1,27.46,1.0,34.0,1,0,,,,0,150.42,150.42,1,15000.0,4.0,1,0,5
00312,0,,,,,0,161.04,18000000.0,48.0,19.0,1,,,,0,1,31.25,1000.0,11.0,1,0,,,,0,,,0,,,0,0,2
00315,0,,,,,0,90.16,8000000.0,36.0,10.0,1,24.36,40000000.0,35.0,1,0,25.59,500.0,4.0,1,1,11660.0,49511.0,16.0,1,101.27,101.27,0,15730.0,2.0,1,0,5
00319,0,,,,,0,,,,,0,,,,0,1,25.9,1.0,8.0,1,0,,,,0,,,0,,,0,0,1
00321,0,,,,,0,114.98,10000000.0,60.0,28.0,1,,,,0,0,23.15,15000.0,7.0,1,0,,,,0,112.98,112.98,1,285.56,32.0,1,1,3
00322,0,,,,,0,300.16,99999999.0,70.0,13.0,1,,,,0,1,21.94,1000.0,11.0,1,1,11246.62,51734.05,23.0,1,214.07,214.07,1,12116.94,8.0,1,1,4
00332,0,,,,,0,952.11,300000000.0,36.0,4.0,1,,,,0,0,,,,0,0,,,,0,0.0,0.0,1,1028.5,6.0,1,0,2
00338,0,16.1,12000000.0,120.0,1.0,1,,,,,0,,,,0,0,27.0,1000.0,5.0,1,0,,,,0,,,0,,,0,1,2
00340,0,,,,,0,,,,,0,,,,0,0,21.94,1.0,5.0,1,0,,,,0,,,0,,,0,0,1
00341,0,,,,,0,86.59,15000000.0,36.0,64.0,1,,,,0,1,26.83,100.0,19.0,1,1,1459.9,4383.11,12.0,1,138.28,138.28,1,8780.97,20.0,1,1,4
00384,0,,,,,0,390.99,10000000.0,24.0,1.0,1,,,,0,1,30.0,1000.0,9.0,1,0,,,,0,211.22,211.22,0,0.0,1.0,1,1,3
00389,0,,,,,0,286.0,20000000.0,36.0,3.0,1,97.27,50000000.0,3.0,1,1,18.39,1000.0,5.0,1,0,14599.0,14599.0,1.0,1,150.0,150.0,1,15946.16,3.0,1,1,5
00426,0,,,,,0,84.42,8000000.0,60.0,63.0,1,,,,0,1,26.83,500.0,12.0,1,1,20469.29,64000.53,32.0,1,185.34,185.34,1,13973.0,8.0,1,1,4
00431,0,,,,,0,34.5,2500000.0,48.0,13.0,1,88.37,50000000.0,24.0,1,1,25.59,100.0,22.0,1,1,15000.0,32800.0,15.0,1,97.51,97.51,1,6200.0,4.0,1,1,5
00432,0,,,,,0,125.45,30000.0,24.0,5.0,1,131.62,350000.0,3.0,1,0,39.16,1000.0,5.0,1,0,41915.5,345674.31,5.0,1,461.06,103.62,1,9300.0,3.0,1,1,5
00435,0,,,,,0,83.07,50000000.0,24.0,6.0,1,,,,0,0,27.15,1000.0,18.0,1,0,,,,0,196.08,,0,7005.9,5.0,1,1,3
00448,1,16.08,320302000.0,180.0,6.0,1,157.84,2000000.0,18.0,1.0,1,,,,0,1,23.75,1000.0,4.0,1,1,16940.0,30250.0,3.0,1,149.91,149.91,0,9084.08,1.0,1,0,5
